Race/Ethnicity,Year,Metro Area,"HD 
Index",Life Expectancy at Birth (years),"Graduate Degree
(%)","School Enrollment
(%)",Median Earnings (2010 dollars),"Health
Index","Education
Index","Income
Index"
AFRICAN AMERICAN,2010,Atlanta,4.46,75.9,8.7,78.8,"26,817",4.12,5,4.25
AFRICAN AMERICAN,2010,Baltimore,4.16,73.4,8.4,74.9,"31,131",3.08,4.12,5.29
AFRICAN AMERICAN,2010,Boston,5.09,79.9,8.4,83.4,"27,307",5.78,5.12,4.38
AFRICAN AMERICAN,2010,Chicago,3.9,73.7,6.9,78,"26,529",3.19,4.34,4.18
AFRICAN AMERICAN,2010,Dallas-Ft. Worth,4.4,75.1,6.4,77.4,"28,730",3.78,4.69,4.73
AFRICAN AMERICAN,2010,Denver,4.23,76.4,6.9,77.5,"25,017",4.32,4.6,3.77
AFRICAN AMERICAN,2010,Detroit,3.58,72.9,6.5,77.4,"24,608",2.88,4.2,3.66
AFRICAN AMERICAN,2010,Houston,4.28,74.5,7.8,77.7,"28,076",3.55,4.71,4.57
AFRICAN AMERICAN,2010,Los Angeles,4.59,74.6,8.1,78.6,"31,246",3.59,4.86,5.31
AFRICAN AMERICAN,2010,Miami,3.93,77.3,5.9,77.8,"22,789",4.7,3.98,3.13
AFRICAN AMERICAN,2010,Minneapolis-St. Paul,4.02,79.2,8.7,74.5,"20,816",5.52,4.04,2.5
AFRICAN AMERICAN,2010,New York,4.85,77.3,7.2,77.9,"31,617",4.71,4.44,5.4
AFRICAN AMERICAN,2010,Philadelphia,3.83,73.7,5.9,76.2,"26,879",3.21,4,4.27
AFRICAN AMERICAN,2010,Phoenix,4.31,76.5,8.5,73.1,"26,891",4.36,4.29,4.27
AFRICAN AMERICAN,2010,Pittsburgh,3.29,72.4,4.5,77.9,"22,692",2.68,4.1,3.1
AFRICAN AMERICAN,2010,Portland,4.36,76.4,9,75.3,"27,029",4.34,4.43,4.31
AFRICAN AMERICAN,2010,Riverside-San Bernardino,4.67,75.6,7.5,77.1,"31,725",4.01,4.59,5.42
